run_id,statement_id,domain,arm,n_reframes,naming_failures,encode_failures,judge_failures,diversity,coherence,tokens,calls,cache_hits
20260808T154020Z,science-1,science,A,8,0,0,0,0.3872,5.0000,2700,10,0
20260808T154020Z,science-1,science,B,8,0,0,0,0.3881,3.0000,3878,17,0
20260808T154020Z,science-2,science,A,8,0,0,0,0.3601,4.0000,2742,10,0
20260808T154020Z,science-2,science,B,8,0,0,0,0.5771,3.0000,3903,17,3
20260808T154020Z,science-3,science,A,8,0,0,0,0.2623,5.0000,2687,10,0
20260808T154020Z,science-3,science,B,8,0,0,0,0.5646,3.0000,3901,17,1
20260808T154020Z,science-4,science,A,8,0,0,0,0.0617,5.0000,2685,10,0
20260808T154020Z,science-4,science,B,8,0,0,0,0.2005,2.0000,3909,17,1
20260808T154020Z,science-5,science,A,8,0,0,0,0.1199,5.0000,2698,10,0
20260808T154020Z,science-5,science,B,8,0,0,0,0.0417,2.0000,3858,17,4
20260808T154020Z,design-1,design,A,8,0,0,0,0.4598,5.0000,2729,10,0
20260808T154020Z,design-1,design,B,8,0,0,0,0.6730,3.0000,3889,17,0
20260808T154020Z,design-2,design,A,8,0,0,0,0.1969,5.0000,2706,10,0
20260808T154020Z,design-2,design,B,8,0,0,0,0.3675,3.0000,3902,17,1
20260808T154020Z,design-3,design,A,0,1,0,0,0.0000,1.0000,242,2,0
20260808T154020Z,design-3,design,B,8,0,0,0,0.4728,3.0000,3873,17,0
20260808T154020Z,design-4,design,A,8,0,0,0,0.2297,4.0000,2723,10,0
20260808T154020Z,design-4,design,B,8,0,0,0,0.1915,2.0000,3912,17,3
20260808T154020Z,design-5,design,A,8,0,0,0,0.1553,4.0000,2707,10,0
20260808T154020Z,design-5,design,B,8,0,0,0,0.2380,3.0000,3845,17,1
